"Position","Drug Name","Reference Type","Primary Reference","Secondary Reference","Drug Detail Link","Primary Reference Link","Secondary Reference Link"
1,"acafrao","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=acafrao&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
2,"acafrão","Other","Med. & Pois. Pl. NE Brazil (Agra et al., 2007)","Med. Pl. of NE Brazil (Fátima Agra et al., 2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=acafr%C3%A3o&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8428&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8426&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
3,"aihre","Other","Med Pl. of Myanmar (DeFilipps & Krupnick, 2018)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aihre&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100279&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
4,"akkinicaruman","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=akkinicaruman&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
5,"alad","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=alad&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
6,"alar","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=alar&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
7,"aldi","Other","Veg. Drugs in Basavarajeeyam (Suryanarayana Raju, 2001)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aldi&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100353&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
8,"amparam","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=amparam&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
9,"ancarakam","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=ancarakam&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
10,"aneshta","Other","Indian Med. Pl. Database (TDU, 2020)","Unani Pharmacop. India (2007-2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=aneshta&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8390&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
